Date,Company,Position,Salary,Years of experience
4/15/2019 14:54:09,International IT Company,IT Project Manager,"700,000",
4/15/2019 14:54:55,,Team Leader,"2,500,000",
4/15/2019 14:55:12,,DevOps,"1,450,000",
4/15/2019 14:55:30,,Junior Java Developer,"600,000",
4/15/2019 14:56:39,,Senior Software Engineer,"1,100,000",
4/15/2019 14:58:37,,Senior Software Engineer,"1,300,000",
4/15/2019 15:04:58,,Somebody who does everything,"320,000",
4/15/2019 15:05:56,,Software engineer,"1,100,000",
4/15/2019 15:07:52,,Product Manager,"600,000",
4/15/2019 15:18:22,,UI/UX Designer,"1,200,000",
4/15/2019 15:20:49,,iOS developer,"550,000",
4/15/2019 15:22:17,IT/media startup,Global operations director,"1,200,000",
4/15/2019 15:36:55,Simply Technologies,Software Developer,"830,000",
4/15/2019 15:42:01,Vineti,Senior DevOps Engineer,"800,000",
4/15/2019 16:01:18,,Product Owner,"700,000",
4/15/2019 16:01:33,VMware Armenia,Member of Technical Staff 3,"1,600,000",
4/15/2019 17:47:18,SFL,Software Engineer ,"800,000",
4/15/2019 17:48:04,SFL,System Engineer/DevOps,"1,250,000",
4/15/2019 17:49:23,,Senior DBA,"1,650,000",
4/15/2019 17:51:13,,Developer,"550,000",
4/15/2019 17:53:25,,Web Designer,"950,000",
4/15/2019 17:56:25,,"Software Developer (C++, Image Processing)","380,000",
4/15/2019 17:57:21,,Senior Android Developer,"1,500,000",
4/15/2019 18:00:54,Jazva,Solution Architect,"2,450,000",
4/15/2019 18:01:53,,Software Engineer,"800,000",
4/15/2019 18:04:27,,PHP Web Developer,"180,000",
4/15/2019 18:05:01,,Product Manager,"1,400,000",
4/15/2019 18:56:43,Webb Fontaine,Java Software Engineer Middle 2,"600,000",
4/15/2019 18:59:24,WebbFontaine,Java Software Engineer Middle 1,"400,000",
4/15/2019 19:05:14,Epam,Java developer,"500,000",
4/15/2019 19:06:49,It company,Junior android developer,"350,000",
4/15/2019 19:13:32,Rocket Systems LLC,Full Stack Developer,"120,000",
4/15/2019 19:17:19,"Global Life Partners, Inc. ",Android developer,"340,000",
4/15/2019 19:20:13,ss,DB,"500,000",
4/15/2019 19:24:42,,Software engineer,"350,000",
4/15/2019 19:27:39,,Android Developer,"160,000",
4/15/2019 19:32:28,Multiple places,System Administrator,"700,000",
4/15/2019 19:38:32,,Data Scientist,"280,000",
4/15/2019 19:52:13,Energize Global Services,Junior Java Developer,"144,000",
4/15/2019 19:56:44,,Java Developer,"120,000",
4/15/2019 20:03:32,Snark Ai,Software Developer,"980,000",
4/15/2019 20:11:22,,Junior data analyst,"120,000",
4/15/2019 20:13:29,EGS,Android developer,"500,000",
4/15/2019 20:32:22,Evoca Bank,Junior Developer,"120,000",
4/15/2019 20:41:00,Iguan Systems,Junior Software developer,"150,000",
4/15/2019 20:44:48,,Senior full stack engineer,"1,300,000",
4/15/2019 20:54:15,OMD,C++ engineer,"860,000",
4/15/2019 20:54:50,Fimetech,ML engineer,"75,000",
4/15/2019 20:55:09,Fimetech,ML engineer,"120,000",
4/15/2019 21:27:20,,Android developer,"100,000",
4/15/2019 21:27:34,,Web Developer,"100,000",
4/15/2019 21:27:53,MNM media,Android developer,"536,000",
4/15/2019 21:34:40,,PR specialist ,"290,000",
4/15/2019 21:50:21,,Developer,"550,000",
4/15/2019 21:50:33,ՇՏՊՔ ՊՈԱԿ,IT assistant professor,"95,000",
4/15/2019 21:55:26,,Android,"900,000",
4/15/2019 22:02:45,,Android,"140,000",
4/15/2019 22:21:26,IUNetworks,QA Engineer,"850,000",9
4/15/2019 22:23:35,EPAM Systems,Senior Software Engineer ,"1,200,000",6
4/15/2019 22:23:41,,.net developer,"150,000",1.5
4/15/2019 22:30:01,,Developer,"1,600,000",12
4/15/2019 22:59:22,,Junior QA engineer,"220,000",1.5
4/15/2019 23:41:24,,Senior System Administrator,"1,800,000",15
4/15/2019 23:59:40,,javascript developer,"150,000",0
4/16/2019 0:03:08,,Mobile developer,"610,000",3
4/16/2019 0:10:53,,Frontend developer,"400,000",1
4/16/2019 0:44:45,,Frontend Developer ,"900,000",5
4/16/2019 1:23:45,,Java Developer,"400,000",2.5
4/16/2019 7:25:51,,Android Developer,"600,000",3.5
4/16/2019 8:36:21,,Product Manager ,"900,000",6
4/16/2019 9:49:59,Startup company,Android developer,"250,000",1
4/16/2019 12:14:12,Joomag,UI/UX Designer,"380,000",2.7
4/16/2019 14:08:19,,Android developer,"300,000",2.5
4/16/2019 14:30:42,Beeline,System Administrator,"400,000",7
4/16/2019 14:34:54,Jetbrains,Scala Plugin Intern,"1,300,000",5
4/16/2019 17:59:55,Startup,Tech Lead,"1,500,000",8
4/16/2019 22:01:00,Realizeit,Junior Android Developer,"100,000",0.5
4/16/2019 22:35:39,,Senior QA Engineer ,"900,000",7
4/16/2019 23:01:13,Renderforest LLC,Illustrator,"320,000",3
4/16/2019 23:05:05,Betconstruct,Software Engineer,"900,000",4
4/16/2019 23:36:03,Synopsis,QA Engineer,"500,000",2
4/17/2019 1:33:48,,Database developer,"1,500,000",23
4/17/2019 2:03:46,,QA,"600,000",5.5
4/17/2019 8:08:42,BetConstruct,Manual QA engineer,"280,000",1
4/17/2019 10:03:48,,Senior QA,"700,000",5
4/17/2019 10:15:59,,Project Manager,"550,000",2
4/17/2019 10:31:40,,Junior Automation Engineer,"120,000",0
4/17/2019 10:33:46,,Junior QA Specialist,"170,000",1
4/17/2019 10:33:58,,Manual QA Engineer,"535,000",8
4/17/2019 10:35:16,,QA Automation Engineer,"650,000",2.5
4/17/2019 10:38:17,,QA Engineer,"1,300,000",4.5
4/17/2019 10:48:29,,Manual QA,"250,000",2
4/17/2019 10:59:31,,QA,"200,000",3
4/17/2019 11:00:43,,QA Engineer,"450,000",3.5
4/17/2019 11:07:08,Click2Sure,QA Engineer,"200,000",2
4/17/2019 11:22:40,Armenian branch of a New York based company,QA Engineer,"500,000",3.5
4/17/2019 11:25:11,360stories,Manual QA & Tester of VR systems,"150,000",0.4
4/17/2019 11:30:06,PicsArt,Junior QA,"370,000",3
4/17/2019 11:34:04,,QA engineer,"700,000",7
4/17/2019 11:38:36,,Manual QA engineer,"600,000",3
4/17/2019 11:57:50,,Software Automation QA engineer,"850,000",4
4/17/2019 12:00:48,,Junior Manual QA,"350,000",1.5
4/17/2019 12:11:23,,QA,"300,000",2.5
4/17/2019 12:17:11,,QA,"250,000",2
4/17/2019 12:18:23,,QA Engineer 2,"850,000",3
4/17/2019 12:22:49,,QA Intern,"750,000",0.5
4/17/2019 12:36:30,AppearMe,QA Specialist,"150,000",0
4/17/2019 12:37:52,,Manual QA,"365,000",5
4/17/2019 12:45:19,HayComp,Web Developer,"500,000",3
4/17/2019 12:54:20,web company,QA,"150,000",2
4/17/2019 14:00:15,,QA Engineer,"500,000",2
4/17/2019 14:08:21,Digitain,Sport Analyst ,"300,000",5
4/17/2019 14:43:18,,QA Engineer,"300,000",2
4/17/2019 15:30:17,,Senior QA,"950,000",7
4/17/2019 15:54:02,Armenia ,QA Manager,"1,800,000",19
4/17/2019 16:52:34,,QA Engineer,"300,000",2
4/17/2019 18:00:01,Synopsys,HW Release Engineer II,"399,000",8
4/17/2019 18:06:02,,Software Testing Engineer,"500,000",1
4/17/2019 19:50:48,,QA Engineer,"300,000",1
4/17/2019 22:03:35,STDev Armenia,QA specialist,"170,000",1.5
4/17/2019 22:04:18,STDev Armenia,QA Specialist,"170,000",0.5
4/17/2019 22:27:02,STDev,Manual QA Engineer,"100,000",0.5
4/17/2019 23:16:56,Synergy,Junior Software Engineer,"160,000",0.5
4/17/2019 23:31:51,,Senior QA Engineer,"750,000",7
4/17/2019 23:55:29,All.me,Manual Qa team lead,"350,000",3
4/18/2019 8:51:46,,QA Team Lead ,"1,200,000",9
4/18/2019 9:07:54,Picsart,Senior QA,"555,000",7
4/18/2019 10:14:39,,Senior Developer,"1,100,000",5
4/18/2019 15:56:14,VMware,Staff Engineer,"2,000,000",10
4/18/2019 19:18:46,,QA Engineer,"380,000",4
4/18/2019 23:24:28,Picsart,Base/mid Backend Developer,"400,000",2.7
4/18/2019 10:14:39,,Senior developer,"1,100,000",5
4/18/2019 13:31:29,Dom Daniel,.,"840,000",12
4/18/2019 15:56:14,VMware,Staff Engineer,"2,000,000",10
4/18/2019 19:18:46,,QA engineer,"380,000",4
4/18/2019 23:24:28,Picsart,Base/mid backend dev,"400,000",2.7
4/19/2019 12:21:58,M&M,Junior Ios Developer,"1,200,000",1
4/19/2019 13:05:30,,Senior Software Engineer,"1,300,000",7
4/19/2019 13:26:51,,Product Owner,"800,000",5
4/19/2019 13:52:08,All.me,Manual QA Team Lead,"550,000",4
4/19/2019 20:00:30,,Front-End Developer,"300,000",2
4/19/2019 22:35:56,IU Networks,Senior Java Developer,"1,300,000",10
4/19/2019 22:37:09,IU Networks,Team Lead,"1,500,000",14
4/20/2019 0:10:58,EGS,Team Lead,"1,800,000",11
4/20/2019 14:06:40,Instigate,Software Engineer,"56,000",1
4/20/2019 15:00:49,       ,Senior QA Engineer,"750,000",11
4/20/2019 16:13:12,,Senior System Administrator,"150,000",1
4/20/2019 17:04:18,Union of Advanced Technology Enterprises,Robotics Instructor,"50,000",2
4/21/2019 0:36:46,EPAM,Senior Front End Developer,"1,200,000",7
4/21/2019 1:39:54,,Middle Front-End Developer,"350,000",1.8
4/21/2019 3:33:53,Byblosbank Armenia ,IT Support Officer ,"190,000",1.5
4/21/2019 9:49:00,,Project Manager,"850,000",10
4/21/2019 9:54:40,Test,Senior developer,"700,000",10
4/21/2019 10:20:00,,Manual QA Engineer,"100,000",1
4/21/2019 10:41:11,,Junior QA,"185,000",1.5
4/21/2019 18:05:48,US based IT company,Data Scientist,"1,200,000",5
